"184","R/ARRA","250X50X76","10.00","48","6.200","G-100","1","0","0","0"
"2","R R","250X50X32","1.00","2","7.300","G-100","105","0","5","1"
"3","R R","300X50X38","10.00","2","9.800","G-160","178","0","5","1"
"4","R R","350X45X38","15.00","2","12.800","G-200","29","0","3","1"
"5","R R","350X50X38","1.00","2","13.800","G-200","304","0","5","2"
"6","R R","250X32X32","29.50","3","4.500","G-100","52","0","3","1"
"7","R R","250X50X32","10.00","3","6.900","G-100","53","0","3","1"
"8","R R","300X50X38","66.30","3","9.500","G-160","89","0","3","1"
"9","R R","350X50X38","10.00","3","13.600","G-200","107","0","3","1"
"10","R R","200X25X19","25.00","3","2.200","C-50","517","0","10","3"
"11","R R","350X38X28","100.00","2","10.400","G-200","2","0","2","1"
"12","R R","200X25X25","100.00","2","2.300","C-50","630","0","10","5"
"13","R R","175X25X19","100.00","5","1.600","C-40","450","0","10","3"
"14","R R","200X32X25","100.00","5","2.800","C-50","21","0","2","1"
"15","R R","250X38X32","10.00","5","5.400","G-100","55","0","4","2"
"294","R R","200X25X19","10.00","5","2.300","C-50","482","0","10","5"
"17","R R","350X50X38","100.00","5","13.800","G-200","646","0","2","1"
"19","R R","250X38X32","20.00","3","5.300","G-100","25","0","3","1"
"20","R R","225X16X50","30.00","3","2.000","100","1","0","1","1"
"21","R R","150X19X19","10.00","3","1.000","C-30","363","0","10","5"
"22","R R","150X25X19","10.00","3","1.300","C-30","307","0","10","5"
"23","R R","175X25X19","10.00","3","1.550","C-40","336","0","10","5"
"25","R R","350X50x38","150.00","6","13.600","G-220","11","0","1","1"
"26","R R","500X22X152","300.00","7","13.000","B-260","1","0","0","0"
"27","R R","150X19X19","10.00","7","0.950","C-30","330","0","10","5"
"28","R R","250X16X19","10.00","7","2.350","110","0","0","0","0"
"29","R R","300X50X38","100.00","7","9.700","G-150","14","0","2","1"
"30","R R","500X25X152","1.00","7","14.000","260","1","0","0","0"
"31","R R","300X25X76","10.00","8","4.600","G-150","5","0","0","0"
"32","R R","450X20X152","10.00","8","8.700","250","0","0","0","0"
"33","R R","400X38X127","10.00","9","13.200","230","1","0","0","0"
"34","RCH","250X10X25","10.00","9","1.500","110","3","0","0","0"
"35","R R","150X19X19","10.00","10","0.950","C-30","331","0","10","3"
"37","R R","175X19X19","10.00","10","1.250","C-40","288","0","10","3"
"38","R R","175X25X19","10.00","10","1.600","C-40","234","0","10","3"
"39","R R","200X19X25","10.00","10","1.600","C-50","250","0","10","3"
