"48","A","70","P","6","BAK","MAR60","0.46000","MAR80","0.32350","MAG","0.00659","OH","0.04500","CAL","0.00847","RESLIQ","0.04143","RESPOL","0.11490","SIL","0.00010","","0.00000","","0.00000","","0.00000","","0.00000"
"2","OA","24","R","5","V","MAR 24","0.39190","MAR 20","0.31260","MAR 36","0.07816","AE67","0.11260","B64N","0.05958","AGUA","0.04508","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"3","OA","46","P","5","V","MAR 46","0.62670","MAR 36","0.15600","AE67","0.09330","B55N","0.07750","AGUA","0.04660","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"4","99R","60","O","5","V","BCO60","0.66900","BCO120","0.07691","B64N","0.11830","AC64","0.08187","OH","0.00016","AGUA","0.05375","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"5","OA","36","Q","5","V","MAR36","0.46970","MAR24","0.31220","AE67","0.11240","B64N","0.05920","AGUA","0.04647","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"6","49A","36","L","5","V","BCO24","0.33600","MAR36","0.50400","AE67","0.10100","B64N","0.05040","HAR","0.00860","","0.00000","","0.00000","","0.00000",\N,\N,\N,\N,\N,\N,\N,\N
"7","OA","60","0","5","V","MAR60","0.46870","MAR46","0.18690","MAR80","0.12520","AE67","0.10220","B64N","0.07070","AGUA","0.04630","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"8","99R","60","J K","12","V","BCO60","0.47300","BCO46","0.31430","B64N","0.13410","OH","0.00135","NU12","0.02346","HAR","0.01544","AGUA","0.03829","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"9","99R","60","K","5","V","BCO60","0.47580","BCO46","0.32010","B64N","0.13560","OH","0.00083","HAR","0.01752","AGUA","0.05008","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"10","99R","70","L","5","V","BCO60","0.49590","BCO80","0.24870","BCO120","0.05694","B55N","0.14460","OH","0.00076","HAR","0.01525","AGUA","0.03787","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"11","C V","80","J K","5","V","CV70","0.29070","CV80","0.29070","AR80F","0.14530","CVA","0.04360","CC64","0.04360","CC46","0.06540","B55N","0.02890","HAR","0.01445","AGUA","0.07740","","0.00000","","0.00000","","0.00000"
"12","C N","36","J","5","V","CN 36","0.38860","CN 100","0.16680","AR36/46","0.22180","A73N","0.08330","B55N","0.04160","HAR","0.01420","AGUA","0.08380","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"13","C N","120","P","5","VIT","CN120","0.34500","CN80","0.17000","RR80F SH","0.17000","CZ120","0.05250","A73N","0.12000","B55N","0.06000","AGUA","0.08250","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"14","49A","46","K","5","V","MAR46","0.56860","BCO36","0.24330","AE67","0.08940","B64N","0.04884","HAR","0.00829","AGUA","0.04147","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"15","OA","36","J K","5","V","MAR36","0.48760","MAR24","0.32480","AE67","0.09205","B64N","0.04602","HAR","0.00826","AGUA","0.04132","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"16","C V","100","J K","5","V","CV120","0.18450","CV100","0.18450","CV90","0.18450","AR80F","0.18450","CVA100","0.05541","CC64","0.04416","CC46","0.07000","B55N","0.02757","AGUA","0.06480","","0.00000","","0.00000","","0.00000"
"17","C N","36","J K","5","V","CN 24","0.09453","CN 36","0.28510","CN 80","0.15000","CN 100","0.04960","ARM","0.13240","A73N","0.10000","B55N","0.05000","HAR","0.02734","AGUA","0.11100","","0.00000","","0.00000","","0.00000"
"18","C N","120","O","5","V","NEG120","0.79050","CC64","0.09490","CC46","0.05530","B64N","0.03950","HAR","0.01970","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"19","C N","60","K","5","V","CN 60","0.38260","CN 46","0.23040","AR60/80","0.15360","CC64","0.05360","CC46","0.06950","B64N","0.03050","HAR","0.00725","AGUA","0.07250","","0.00000","","0.00000","","0.00000","","0.00000"
"20","49A","60","K","5","V","MAR60","0.42450","BCO46","0.33950","BCO120","0.04240","B55N","0.14430","OH","0.00042","HAR","0.01270","AGUA","0.03610","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"21","99B","60","L","5","V","BCO46","0.23040","BCO60","0.46090","BCO80","0.11520","AE67","0.08400","CC55","0.04943","HAR","0.01153","AGUA","0.04852","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"22","49A","46","O P","5","V","MAR 46","0.46730","BCO36","0.31130","AE67","0.10510","B64N","0.06596","AGUA","0.05030","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"23","C V","60","J K","5","VIT","CV 60","0.28780","CV 46","0.28780","AR80F","0.14380","CVAP","0.05750","CC64","0.04600","CC46","0.07790","B55N","0.01730","HAR","0.01390","AGUA","0.06800","","0.00000","","0.00000","","0.00000"
"24","99B","80","J K","5","V","BCO80","0.57000","BCO60","0.24360","AE67","0.08121","CA55","0.04777","HAR","0.01592","AGUA","0.04140","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"25","99R","80","L M","5","V","BCO60","0.17800","BCO80","0.47640","BCO120","0.12040","B64N","0.15500","OH","0.00104","HAR","0.01152","AGUA","0.05759","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"26","99B","36","J K","5","V","BCO36","0.48530","BCO24","0.32350","AE67","0.08120","CA55","0.04770","HAR","0.01650","AGUA","0.04570","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"27","99R","36","J K","5","V","BCO36","0.54160","BCO24","0.27100","B64N","0.13020","OH","0.00065","HAR","0.01650","AGUA","0.04000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"28","49A","70","Q","5","V","MAR46","0.06190","MAR60","0.53730","MAR120","0.14940","BB46","0.14070","AE67","0.06140","AGUA","0.04930","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"29","99B","36","H","8","V","BCO24","0.23860","BCO36","0.55750","AE67","0.06860","CA55","0.04075","AS30","0.03800","HAR","0.01945","AGUA","0.03703","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
